test/plugins/tdd/commands/bug_1568_hand_step_park_not_stop_test.dart	slow	CI-proven >=4s (24.6s)
test/plugins/tdd/commands/bug_1574_gen_relative_paths_test.dart	e2e	spawn-heavy (CI 1.0s)
test/plugins/tdd/commands/bug_1589_contract_blocked_resume_test.dart	slow	CI-proven >=4s (39.3s)
test/plugins/tdd/commands/compose_command_test.dart	slow	CI-proven >=4s (6.5s)
test/plugins/tdd/commands/contract_kind_1007_test.dart	e2e	spawn-heavy (CI 7.1s)
test/plugins/tdd/commands/issue_1388_gen_reuse_fingerprint_test.dart	slow	CI-proven >=4s (4.9s)
test/plugins/tdd/commands/issue_1528_setup_error_test.dart	slow	CI-proven >=4s (20.8s)
test/plugins/tdd/commands/plan_traces_cell_1310_test.dart	slow	CI-proven >=4s (7.5s)
test/plugins/tdd/commands/realize_command_1193_test.dart	slow	CI-proven >=4s (4.2s)
test/plugins/tdd/commands/run_command_bug_1471_test.dart	e2e	spawn-heavy (CI 1.8s)
test/plugins/tdd/commands/run_driver_timeout_receipt_test.dart	e2e	spawn-heavy (CI 63.4s)
test/plugins/tdd/commands/view_command_test.dart	slow	CI-proven >=4s (5.2s)
test/plugins/tdd/corpus_economics/baseline_cache_test.dart	e2e	spawn-heavy (CI 9.8s)
test/plugins/tdd/corpus_economics/batch_gen_test.dart	slow	CI-proven >=4s (4.1s)
test/plugins/tdd/corpus_economics/incremental_verify_test.dart	slow	CI-proven >=4s (5.1s)
test/plugins/tdd/issue_1482_run_preflight_test.dart	e2e	spawn-heavy (CI 0.8s)
test/plugins/tdd/issue_1590_progress_liveness_test.dart	e2e	spawn-heavy (CI 4.4s)
test/plugins/tdd/make_command_1587_build_skip_test.dart	slow	CI-proven >=4s (24.5s)
test/plugins/tdd/make_command_1587_dedup_test.dart	slow	CI-proven >=4s (35.6s)
test/plugins/tdd/make_command_declared_071_test.dart	slow	tier-only regression -> add slow
test/plugins/tdd/make_command_test.dart	slow	tier-only regression -> add slow
test/plugins/tdd/run_baseline_cache_test.dart	slow	CI-proven >=4s (4.6s)
test/plugins/tdd/scratch_tmpdir_test.dart	e2e	spawn-heavy (CI 0.8s)
test/plugins/tdd/services/bug_1512_acceptance_vacuous_composition_test.dart	e2e	spawn-heavy (CI 0.8s)
test/plugins/tdd/services/bug_1538_void_guard_compile_test.dart	e2e	spawn-heavy (CI 0.7s)
test/plugins/tdd/services/dependency_override_preflight_test.dart	e2e	spawn-heavy (CI 0.8s)
test/plugins/tdd/services/pipeline_runner_test.dart	e2e	spawn-heavy (CI 6.2s)
test/plugins/tdd/services/refactor_passes_test.dart	e2e	spawn-heavy (CI 1.3s)
test/plugins/tdd/services/run_state_store_test.dart	e2e	spawn-heavy (CI 1.6s)
test/plugins/tdd/services/step_runner_test.dart	e2e	spawn-heavy (CI 0.7s)
test/plugins/tdd/services/subprocess_timeout_test.dart	e2e	spawn-heavy (CI 40.6s)
test/plugins/tdd/services/test_list_reader_984_test.dart	e2e	spawn-heavy (CI 2.0s)
test/plugins/tdd/spec_1529_recert_wiring_test.dart	e2e	spawn-heavy (CI 2.7s)
test/plugins/tdd/wire_command_test.dart	slow	CI-proven >=4s (5.3s)
test/plugins/use_case/use_case_engine_behavior_test.dart	e2e	spawn-heavy (CI 13.8s)
test/plugins/use_case/use_case_engine_compile_test.dart	slow	compile/self-hosting gate (CI 2.0s)
test/plugins/usecase/usecase_command_grammar_test.dart	e2e	spawn-heavy (CI 9.5s)
test/plugins/usecase/usecase_compile_test.dart	e2e	spawn-heavy (CI 2.0s)
test/regression/issue_1059_entity_cli_bare_exit_code_test.dart	e2e	spawn-heavy (CI 0.8s)
test/regression/issue_1132_slice_bare_exit_code_test.dart	e2e	spawn-heavy (CI 1.2s)
test/regression/issue_1185_make_view_no_methods_test.dart	e2e	spawn-heavy (CI 1.1s)
